Player,touches,paint_touches,paint_fgm,paint_fga,paint_ftm,paint_fta,paint_pts,Passes,Assists,Turnovers,Fouls,FG%,ppp_paint,paint_pass_pct,paint_ast_pct,paint_to_pct,Foul%,possessions,Touches Per Poss,paint_per_poss,season_year,player
Brandon Ingram,4241,124,48,71,18,22,116,29,7,6,10,0.6761,0.9355,0.2339,0.0565,0.0484,0.0806,5290,0.8017,0.0234,2026,Brandon Ingram
Brandon Miller,3828,123,49,64,9,10,108,43,8,7,5,0.7656,0.878,0.3496,0.065,0.0569,0.0407,3983,0.9611,0.0309,2026,Brandon Miller
Brandon Williams,3167,41,9,13,5,6,24,20,4,3,3,0.6923,0.5854,0.4878,0.0976,0.0732,0.0732,3127,1.0128,0.0131,2026,Brandon Williams
Brice Sensabaugh,2744,62,14,32,7,8,39,17,1,3,6,0.4375,0.629,0.2742,0.0161,0.0484,0.0968,3708,0.74,0.0167,2026,Brice Sensabaugh
Bronny James,747,11,4,6,0,0,8,4,0,1,0,0.6667,0.7273,0.3636,0.0,0.0909,0.0,745,1.0027,0.0148,2026,Bronny James
Brook Lopez,1889,133,48,81,19,24,119,26,4,10,11,0.5926,0.8947,0.1955,0.0301,0.0752,0.0827,3187,0.5927,0.0417,2026,Brook Lopez
Brooks Barnhizer,397,27,7,11,0,0,14,14,0,1,0,0.6364,0.5185,0.5185,0.0,0.037,0.0,705,0.5631,0.0383,2026,Brooks Barnhizer
Bruce Brown,3034,190,60,110,20,26,145,50,11,12,14,0.5455,0.7632,0.2632,0.0579,0.0632,0.0737,4060,0.7473,0.0468,2026,Bruce Brown
Bryce McGowens,1147,22,8,10,7,8,23,6,1,2,4,0.8,1.0455,0.2727,0.0455,0.0909,0.1818,1855,0.6183,0.0119,2026,Bryce McGowens
Bub Carrington,4855,42,8,15,1,4,18,21,7,2,2,0.5333,0.4286,0.5,0.1667,0.0476,0.0476,4822,1.0068,0.0087,2026,Bub Carrington
Buddy Boeheim,12,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.4,0.0,2026,Buddy Boeheim
Buddy Hield,1514,45,19,28,4,6,42,13,2,1,3,0.6786,0.9333,0.2889,0.0444,0.0222,0.0667,1723,0.8787,0.0261,2026,Buddy Hield
Cade Cunningham,5583,96,30,48,19,22,80,31,9,3,11,0.625,0.8333,0.3229,0.0938,0.0312,0.1146,4396,1.27,0.0218,2026,Cade Cunningham
Caleb Houstan,94,5,1,2,0,0,2,3,0,0,0,0.5,0.4,0.6,0.0,0.0,0.0,155,0.6065,0.0323,2026,Caleb Houstan
Caleb Love,1849,13,5,6,2,2,12,6,0,0,1,0.8333,0.9231,0.4615,0.0,0.0,0.0769,2124,0.8705,0.0061,2026,Caleb Love
Caleb Martin,1027,29,5,8,0,0,10,18,2,2,0,0.625,0.3448,0.6207,0.069,0.069,0.0,1780,0.577,0.0163,2026,Caleb Martin
