bbref_id,nba_id,player_name,source,confidence
knighbr03,202688,Brandon Knight,authoritative,high
knighna01,1630233,Nathan Knight,stub_reconstruction,high
knoxke01,1628995,Kevin Knox II,authoritative,high
kolekty01,1642278,Tyler Kolek,stub_reconstruction,high
kolokch01,1631132,Christian Koloko,stub_reconstruction,high
konchjo01,1629723,John Konchar,stub_reconstruction,high
korkmfu01,1627788,Furkan Korkmaz,authoritative,high
kornelu01,1628436,Luke Kornet,authoritative,high
krejcvi01,1630249,Vit Krejci,stub_reconstruction,high
kulboar01,1629083,Arnoldas Kulboka,stub_reconstruction,high
kuminjo01,1630228,Jonathan Kuminga,stub_reconstruction,high
kurucro01,1629066,Rodions Kurucs,authoritative,high
kuzmaky01,1628398,Kyle Kuzma,authoritative,high
labissk01,1627746,Skal Labissiere,authoritative,high
lamban01,1630237,Anthony Lamb,stub_reconstruction,high
lambje01,203087,Jeremy Lamb,authoritative,high
landajo01,1629111,Jock Landale,stub_reconstruction,high
langfro01,1629641,Romeo Langford,stub_reconstruction,high
laravja01,1631222,Jake LaRavia,stub_reconstruction,high
larsspe01,1641796,Pelle Larsson,stub_reconstruction,high
lavinza01,203897,Zach LaVine,authoritative,high
lawsoaj01,1630639,A.J. Lawson,stub_reconstruction,high
laymaja01,1627774,Jake Layman,authoritative,high
leaftj01,1628388,T.J. Leaf,authoritative,high
lecquja01,1629665,Jalen Lecque,stub_reconstruction,high
leeda03,1627814,Damion Lee,authoritative,high
leesa01,1630240,Saben Lee,stub_reconstruction,high
lenal01,203458,Alex Len,authoritative,high
leonaka01,202695,Kawhi Leonard,authoritative,high
leoname01,203086,Meyers Leonard,authoritative,high
leonsma01,1642502,Malevy Leons,stub_reconstruction,high
leverca01,1627747,Caris LeVert,authoritative,high
lewiski01,1630184,Kira Lewis Jr.,stub_reconstruction,high
lewisma05,1641721,Maxwell Lewis,stub_reconstruction,high
liddeej01,1630604,E.J. Liddell,stub_reconstruction,high
